店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
"
鈴の音 三鷹 
",050-5484-6177,,東京都,三鷹市下連雀,3-27-8,,,
"
地鶏と焼酎 とりちゅう 
",050-5487-0688,,東京都,千代田区三崎町,2-13-6,,,
"
焼肉食べ飲み放題もつ鍋居酒屋 夕やけ横丁三丁目 豊橋駅前店
",050-5486-0497,,愛知県,豊橋市松葉町,1-56,,,
"
酒亭 じゅらく 上野店
",050-5485-8486,,東京都,台東区上野,6-11-6,,,
"
博多とりかわ串と肉汁餃子とり酒場 博多店 個室完備 
",050-5487-4565,,福岡県,福岡市博多区博多駅東,2-4-7,,,
"
個室居酒屋 あや鶏 長崎浜の町店
",050-5485-0870,,長崎県,長崎市万屋町,5-9,,,
"
粉や 町田店 
",050-5489-6245,,東京都,町田市原町田,4-4-2,,,
"
【全200種時間無制限食べ飲み放題】食欲無双 千葉駅前本店
",050-5487-9406,,千葉県,千葉市中央区富士見,2-5-1,,,
"
個室居酒屋 全200種飲み放題30分290円イザカヤラボ 新札幌店
",050-5494-7038,,北海道,札幌市厚別区厚別中央,2,条5-3-36,,
"
海鮮浜焼き居酒屋 きばる 
",050-5492-3361,,広島県,広島市西区横川町,3-1-21,,,
"
飲み放題×本格炭火焼鳥 からきち酒場 
",050-5486-2596,,福岡県,福岡市中央区福浜,2-3-1,,,
"
個室居酒屋 宮崎の台所 あかね屋 宮崎橘通西店
",050-5487-6412,,宮崎県,宮崎市橘通西,3-1-1,,,
"
浪花ろばた 頂鯛 北新地店
",050-5487-5454,,大阪府,大阪市北区曽根崎新地,1-6-21,,,
"
全席個室×全200種類食べ放題＆飲み放題はな和 天神店
",050-5487-9614,,福岡県,福岡市中央区天神,2-7-6,,,
"
個室居酒屋 全200種飲み放題30分290円イザカヤラボ 手稲店
",050-5488-2278,,北海道,札幌市手稲区手稲本町,1,条3-2-15,,
"
鮪と炭火焼き うお炭 uozumi 秋葉原店
",050-5484-4152,,東京都,千代田区神田佐久間町,2-11,,,
"
鳥いちばん 岸和田店
",050-5485-4134,,大阪府,岸和田市三田町,68-2,,,
"
居酒屋HITOKUCHI（ひとくち） 久留米 
",050-5486-6745,,福岡県,久留米市日吉町,26-34,,,
"
和牛と焼き鳥 完全個室居酒屋 食べ飲み放題 かんぱい屋 田町店
",050-5484-8241,,東京都,港区芝,5-21-15,,,
"
海鮮牡蠣しゃぶと焼き鳥居酒屋 晴れ子 すすきの店
",050-5494-5538,,北海道,札幌市中央区南4条西,3-2-3,,,
"
個室海鮮居酒屋 藁家88 福山店 
",050-5488-2961,,広島県,福山市元町,12-1,,,
"
食べ飲み放題全170種 中華居酒屋マルヤス酒場 巣鴨店
",050-5486-4184,,東京都,豊島区巣鴨,2-2-5,,,
"
日本一の串かつ 横綱 梅田東通り店
",050-5492-0993,,大阪府,大阪市北区小松原町,1-16,,,
"
九州 熱中屋 阪神尼崎 LIVE 
",050-5485-8222,,兵庫県,尼崎市神田北通,2-12-27,,,
"
個室居酒屋 九州和食 八州 博多駅筑紫口店
",050-5486-8394,,福岡県,福岡市博多区博多駅東,1-13-31,,,
"
赤身肉と25種のレモンサワー 川越原人 
",050-5488-6103,,埼玉県,川越市脇田町,11-3,,,
"
個室完備 海鮮居酒屋 魚鮮水産米子駅前店
",050-5484-5322,,鳥取県,米子市明治町,140,,,
"
クラフトビール時間無制限飲み放題和洋創作料理 kitchen 三日月
",050-5485-8929,,大阪府,大阪市中央区船場中央,2-1-4,,,
"
～天然塩と七厘地鶏処～ とりの極 大阪本町店
",050-5485-9198,,大阪府,大阪市中央区南本町,4-2-16,,,
"
九州料理 野菜串ともつ鍋 ゑびす屋個室居酒屋 藤沢駅前店
",050-5487-5616,,神奈川県,藤沢市南藤沢,2-1-1,,,
"
北海道大衆居酒屋 北の国バル 赤羽店 
",050-5484-8980,,東京都,北区赤羽,1-38-5,,,
"
完全個室居酒屋 九州さつき 六本木店
",050-5486-4873,,東京都,港区六本木,3-11-10,,,
"
九州料理専門店馬刺し肉寿司＆焼鳥 新宿檸檬 ‐レモン‐
",050-5494-0306,,東京都,新宿区西新宿,1-14-6,,,
